    PID CMD
    836 avahi-daemon: chroot helper
    758 avahi-daemon: running [osc.local]
  73800 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    759 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     54 [ecryptfs-kthread]
   1687 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1576 gdm-session-worker [pam/gdm-password]
  77473 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
  78427 grep --color=auto -v ^UID
     19 [idle_inject/0]
     22 [idle_inject/1]
     44 [irq/9-acpi]
    293 [jbd2/dm-0-8]
    511 [jbd2/sda2-8]
     31 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     53 [kswapd0]
      2 [kthreadd]
  31414 [kworker/0:0H-kblockd]
  78246 [kworker/0:1-cgroup_destroy]
  77728 [kworker/0:1H-kblockd]
  77922 [kworker/0:2-events]
     26 [kworker/1:0H-events_highpri]
  77742 [kworker/1:1-cgroup_destroy]
  16872 [kworker/1:1H-kblockd]
  78149 [kworker/1:2-events]
     56 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     92 [kworker/R-charg]
    541 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    294 [kworker/R-ext4-]
    512 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     65 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    251 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     74 [kworker/R-kstrp]
     55 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     64 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     59 [kworker/R-scsi_]
     61 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    153 [kworker/R-scsi_]
    155 [kworker/R-scsi_]
    157 [kworker/R-scsi_]
    159 [kworker/R-scsi_]
    161 [kworker/R-scsi_]
    163 [kworker/R-scsi_]
    165 [kworker/R-scsi_]
    167 [kworker/R-scsi_]
    169 [kworker/R-scsi_]
    175 [kworker/R-scsi_]
    178 [kworker/R-scsi_]
    180 [kworker/R-scsi_]
    184 [kworker/R-scsi_]
    194 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    198 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    202 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    206 [kworker/R-scsi_]
    208 [kworker/R-scsi_]
    210 [kworker/R-scsi_]
    212 [kworker/R-scsi_]
    214 [kworker/R-scsi_]
    216 [kworker/R-scsi_]
    218 [kworker/R-scsi_]
      6 [kworker/R-slub_]
  12736 [kworker/R-tls-s]
     45 [kworker/R-tpm_d]
    137 [kworker/R-ttm]
     36 [kworker/R-write]
  48024 [kworker/u4:0-ext4-rsv-conversion]
  73615 [kworker/u4:2-ext4-rsv-conversion]
  78105 [kworker/u5:0-events_unbound]
  74865 [kworker/u5:1-events_power_efficient]
  76567 [kworker/u5:3-events_unbound]
  77253 [kworker/u6:0-events_unbound]
  77019 [kworker/u6:1-events_unbound]
  78421 [kworker/u6:2-events_unbound]
  78207 [kworker/u6:3-events_unbound]
     76 [kworker/u7:0]
     77 [kworker/u8:0]
     78 [kworker/u9:0]
     18 [migration/0]
     23 [migration/1]
     34 [oom_reaper]
      3 [pool_workqueue_release]
  78426 ps -eo pid,cmd --sort=cmd
    438 [psimon]
  64071 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
     58 [scsi_eh_0]
     60 [scsi_eh_1]
    160 [scsi_eh_10]
    162 [scsi_eh_11]
    164 [scsi_eh_12]
    166 [scsi_eh_13]
    168 [scsi_eh_14]
    174 [scsi_eh_15]
    176 [scsi_eh_16]
    179 [scsi_eh_17]
    181 [scsi_eh_18]
    193 [scsi_eh_19]
    144 [scsi_eh_2]
    195 [scsi_eh_20]
    197 [scsi_eh_21]
    199 [scsi_eh_22]
    201 [scsi_eh_23]
    203 [scsi_eh_24]
    205 [scsi_eh_25]
    207 [scsi_eh_26]
    209 [scsi_eh_27]
    211 [scsi_eh_28]
    213 [scsi_eh_29]
    146 [scsi_eh_3]
